timestep,susceptible,infected,recovered,step_time_sec
264,35756486,18206,225308,0.125038
265,35754596,18332,227072,0.118493
266,35752649,18479,228872,0.114355
267,35750770,18540,230690,0.115546
268,35748864,18616,232520,0.120128
269,35746977,18565,234458,0.168240
270,35745030,18578,236392,0.122591
271,35743098,18663,238239,0.125334
272,35741214,18727,240059,0.114246
273,35739287,18813,241900,0.116860
274,35737412,18737,243851,0.117929
275,35735441,18895,245664,0.118034
276,35733511,18951,247538,0.116314
277,35731432,19167,249401,0.120541
278,35729455,19249,251296,0.124007
279,35727404,19427,253169,0.125423
280,35725327,19546,255127,0.116378
281,35723277,19637,257086,0.121546
282,35721235,19753,259012,0.113411
283,35719183,19781,261036,0.114661
284,35717150,19824,263026,0.115706
285,35715169,19805,265026,0.122601
286,35713122,19849,267029,0.118928
287,35711014,20001,268985,0.117852
288,35708935,20130,270935,0.120922
289,35706812,20257,272931,0.113380
290,35704658,20429,274913,0.115230
291,35702499,20567,276934,0.126676
292,35700314,20722,278964,0.126055
293,35698158,20811,281031,0.120729
294,35695999,20858,283143,0.134066
295,35693876,20894,285230,0.120178
296,35691835,20813,287352,0.119655
297,35689721,20855,289424,0.115465
298,35687519,21016,291465,0.127174
299,35685393,21056,293551,0.134403
300,35683212,21032,295756,0.116748
301,35681011,21129,297860,0.127056
302,35678775,21249,299976,0.120577
303,35676491,21374,302135,0.121513
304,35674358,21434,304208,0.118228
305,35672172,21452,306376,0.120889
306,35669917,21586,308497,0.117805
307,35667686,21658,310656,0.117053
308,35665451,21735,312814,0.117651
309,35663198,21865,314937,0.122019
310,35660971,21943,317086,0.131337
311,35658674,22081,319245,0.125553
312,35656400,22192,321408,0.130325
313,35654116,22242,323642,0.117314
314,35651814,22339,325847,0.116747
315,35649506,22452,328042,0.115544
316,35647257,22470,330273,0.116505
317,35644912,22587,332501,0.114639
318,35642626,22635,334739,0.125579
319,35640367,22549,337084,0.122142
320,35637983,22751,339266,0.121000
321,35635585,22913,341502,0.124512
322,35633261,22909,343830,0.115660
323,35630825,22986,346189,0.117055
324,35628402,23085,348513,0.114255
325,35626030,23147,350823,0.113779
326,35623701,23174,353125,0.122793
327,35621310,23243,355447,0.120728
328,35618954,23284,357762,0.134935
329,35616613,23269,360118,0.113596
330,35614284,23247,362469,0.113193
331,35611894,23393,364713,0.137255
332,35609454,23479,367067,0.115769
333,35607076,23448,369476,0.114176
334,35604697,23442,371861,0.120240
335,35602215,23601,374184,0.119737
336,35599709,23765,376526,0.119376
337,35597181,23865,378954,0.124069
338,35594710,23985,381305,0.116644
339,35592292,23975,383733,0.114037
340,35589917,23931,386152,0.116060
341,35587458,23883,388659,0.121760
342,35585023,23928,391049,0.115107
343,35582571,23955,393474,0.117753
344,35580104,24000,395896,0.118880
345,35577599,24037,398364,0.119308
346,35575162,24066,400772,0.134355
347,35572685,24143,403172,0.114007
348,35570186,24131,405683,0.120299
349,35567694,24231,408075,0.127279
350,35565154,24327,410519,0.118714
351,35562631,24415,412954,0.125107
352,35560100,24490,415410,0.122682
353,35557489,24617,417894,0.121744
354,35554965,24748,420287,0.142743
355,35552389,24819,422792,0.122282
356,35549856,24894,425250,0.119326
357,35547176,25161,427663,0.135270
358,35544447,25345,430208,0.115353
359,35541879,25446,432675,0.116661
360,35539236,25575,435189,0.117438
361,35536627,25594,437779,0.126817
362,35533990,25643,440367,0.118257
363,35531323,25715,442962,0.115972
364,35528607,25883,445510,0.114654
365,35525929,25957,448114,0.116605
366,35523282,26090,450628,0.118909
367,35520549,26360,453091,0.131674
368,35517885,26395,455720,0.119156
369,35515177,26425,458398,0.119425
370,35512434,26505,461061,0.120891
371,35509729,26578,463693,0.127641
372,35506995,26664,466341,0.115155
373,35504275,26707,469018,0.117868
374,35501444,26871,471685,0.121256
375,35498640,26998,474362,0.123010
376,35495814,27226,476960,0.123118
377,35493068,27340,479592,0.122085
378,35490287,27358,482355,0.125552
379,35487506,27402,485092,0.123947
380,35484762,27428,487810,0.118690
381,35482042,27403,490555,0.124363
382,35479295,27461,493244,0.118821
383,35476492,27480,496028,0.122209
384,35473719,27516,498765,0.124945
385,35470954,27500,501546,0.124822
386,35468095,27615,504290,0.140974
387,35465354,27600,507046,0.126979
388,35462529,27655,509816,0.116958
389,35459686,27724,512590,0.115795
390,35456937,27809,515254,0.117773
391,35454073,27932,517995,0.127952
392,35451275,27892,520833,0.126057
393,35448398,27972,523630,0.122252
394,35445567,27957,526476,0.130003
395,35442680,28068,529252,0.129964
396,35439819,28072,532109,0.119072
397,35436973,28068,534959,0.115953
398,35434205,28036,537759,0.121001
399,35431409,28046,540545,0.122393
400,35428525,28095,543380,0.126363
401,35425691,28078,546231,0.130717
402,35422743,28248,549009,0.121366
403,35419760,28353,551887,0.126531
404,35416833,28394,554773,0.117826
405,35413910,28485,557605,0.116612
406,35410952,28575,560473,0.118554
407,35408048,28665,563287,0.118471
408,35405150,28698,566152,0.146939
409,35402184,28716,569100,0.131865
410,35399197,28770,572033,0.120110
411,35396220,28838,574942,0.130483
412,35393263,28951,577786,0.116202
413,35390205,29084,580711,0.118653
414,35387233,29203,583564,0.153412
415,35384280,29231,586489,0.123880
416,35381284,29395,589321,0.120339
417,35378259,29489,592252,0.120547
418,35375214,29643,595143,0.129410
419,35372188,29646,598166,0.122010
420,35369064,29681,601255,0.124994
421,35366048,29819,604133,0.123912
422,35363028,29733,607239,0.155412
423,35360000,29766,610234,0.122054
424,35357009,29792,613199,0.122209
425,35353962,29901,616137,0.118150
426,35350914,29934,619152,0.121870
427,35347853,30112,622035,0.126789
428,35344774,30129,625097,0.145722
429,35341608,30261,628131,0.121857
430,35338373,30408,631219,0.169089
431,35335295,30396,634309,0.161631
432,35332147,30437,637416,0.126844
433,35329052,30564,640384,0.125171
434,35325889,30644,643467,0.160846
435,35322748,30709,646543,0.117513
436,35319568,30755,649677,0.182661
437,35316449,30756,652795,0.115398
438,35313237,30922,655841,0.117357
439,35310010,31044,658946,0.129131
440,35306741,31222,662037,0.131219
441,35303464,31390,665146,0.136676
442,35300132,31544,668324,0.120117
443,35296793,31684,671523,0.122877
444,35293464,31807,674729,0.116889
445,35290112,31941,677947,0.117548
446,35286899,31999,681102,0.119911
447,35283690,32009,684301,0.127190
448,35280367,32048,687585,0.115812
449,35277077,32071,690852,0.118434
450,35273782,32236,693982,0.116174
451,35270477,32322,697201,0.124574
452,35267208,32319,700473,0.118462
453,35263881,32489,703630,0.118112
454,35260552,32558,706890,0.118000
455,35257225,32566,710209,0.120180
456,35253865,32643,713492,0.120586
457,35250478,32738,716784,0.120435
458,35247158,32842,720000,0.120264
459,35243838,32946,723216,0.119807
460,35240507,32964,726529,0.120364
461,35237108,33042,729850,0.132976
462,35233661,33199,733140,0.119329
463,35230288,33191,736521,0.120317
464,35226888,33330,739782,0.123904
465,35223507,33408,743085,0.122254
466,35220090,33480,746430,0.119702
467,35216708,33517,749775,0.122367
468,35213253,33650,753097,0.121777
469,35209829,33689,756482,0.153032
470,35206442,33745,759813,0.118544
471,35202931,33952,763117,0.133451
472,35199432,34030,766538,0.118096
473,35195979,33997,770024,0.120239
474,35192551,33994,773455,0.127566
475,35189060,34058,776882,0.114217
476,35185556,34200,780244,0.174630
477,35181970,34337,783693,0.117057
478,35178445,34441,787114,0.115885
479,35174869,34633,790498,0.122524
480,35171280,34730,793990,0.119380
481,35167762,34791,797447,0.126178
482,35164272,34775,800953,0.122124
483,35160739,34810,804451,0.119825
484,35157151,34891,807958,0.115905
485,35153601,34956,811443,0.118722
